Movie,Year,RunTime,imdb,Genre,votes
3 Idiots,2009,170 minutes,8.5,"Comedy, Drama",383484
Captain America: The Winter Soldier,2014,136 minutes,7.8,"Action, Adventure, Sci-Fi",811249
The Lego Movie,2014,100 minutes,7.7,"Animation, Action, Adventure",344538
The Count of Monte Cristo,2002,131 minutes,7.7,"Action, Adventure, Drama",136033
Willy Wonka & the Chocolate Factory,1971,100 minutes,7.8,"Family, Fantasy, Musical",195541
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 minutes,8.4,"Comedy, War",478398
Blood Diamond,2006,143 minutes,8.0,"Adventure, Drama, Thriller",534981
Bãhubali: The Beginning,2015,159 minutes,8.1,"Action, Drama",114767
Slumdog Millionaire,2008,120 minutes,8.0,"Drama, Romance",831508
Magnolia,1999,188 minutes,8.0,Drama,306963
Empire of the Sun,1987,153 minutes,7.7,"Drama, History, War",123515
Saw,2004,103 minutes,7.6,"Horror, Mystery, Thriller",408859
The Reader,2008,124 minutes,7.6,"Drama, Romance",240820
Tangled,2010,100 minutes,7.8,"Animation, Adventure, Comedy",438153
The Ten Commandments,1956,220 minutes,7.9,"Adventure, Drama, Family",69002
How to Train Your Dragon,2010,98 minutes,8.1,"Animation, Action, Adventure",716118
Salinui chueok,2003,131 minutes,8.1,"Crime, Drama, Mystery",170746
WALL·E,2008,98 minutes,8.4,"Animation, Adventure, Family",1078483
Halloween,1978,91 minutes,7.7,"Horror, Thriller",264733
Chinatown,1974,130 minutes,8.2,"Drama, Mystery, Thriller",318356
The Lives of Others,2006,137 minutes,8.4,"Drama, Mystery, Thriller",381944
Sherlock Holmes,2009,128 minutes,7.6,"Action, Adventure, Mystery",618037
Marriage Story,2019,137 minutes,7.9,"Drama, Romance",292033
Blazing Saddles,1974,93 minutes,7.7,"Comedy, Western",135927
True Grit,2010,110 minutes,7.6,"Drama, Western",332612
"O Brother, Where Art Thou?",2000,107 minutes,7.7,"Adventure, Comedy, Crime",305174
Big Fish,2003,125 minutes,8.0,"Adventure, Drama, Fantasy",434677
The Sandlot,1993,101 minutes,7.8,"Comedy, Drama, Family",88427
Remember the Titans,2000,113 minutes,7.8,"Biography, Drama, Sport",210734
Kung Fu Panda,2008,92 minutes,7.6,"Animation, Action, Adventure",453495
Toy Story 4,2019,100 minutes,7.7,"Animation, Adventure, Comedy",236285
The Last of the Mohicans,1992,112 minutes,7.7,"Action, Adventure, Drama",165064
Million Dollar Baby,2004,132 minutes,8.1,"Drama, Sport",673044
Gravity,2013,91 minutes,7.7,"Action, Drama, Sci-Fi",809440
The Bourne Identity,2002,119 minutes,7.9,"Action, Mystery, Thriller",536611
Captain Fantastic,2016,118 minutes,7.8,"Comedy, Drama",212861
Der Untergang,2004,156 minutes,8.2,"Biography, Drama, History",349112
Incredibles 2,2018,118 minutes,7.6,"Animation, Action, Adventure",283145
Misery,1990,107 minutes,7.8,"Drama, Thriller",202254
(500) Days of Summer,2009,95 minutes,7.7,"Comedy, Drama, Romance",500932
The Best Years of Our Lives,1946,170 minutes,8.1,"Drama, Romance, War",62741
Lost in Translation,2003,102 minutes,7.7,"Comedy, Drama",443223
American Gangster,2007,157 minutes,7.8,"Biography, Crime, Drama",417645
"Lock, Stock and Two Smoking Barrels",1998,107 minutes,8.2,"Action, Comedy, Crime",568979
Indiana Jones and the Last Crusade,1989,127 minutes,8.3,"Action, Adventure",735511
Hotaru no haka,1988,89 minutes,8.5,"Animation, Drama, War",264899
Wonder,2017,113 minutes,7.9,"Drama, Family",159285
Before Sunrise,1995,101 minutes,8.1,"Drama, Romance",297027
Die Hard: With a Vengeance,1995,128 minutes,7.6,"Action, Adventure, Thriller",381465
The King's Speech,2010,118 minutes,8.0,"Biography, Drama, History",669173
Being John Malkovich,1999,113 minutes,7.8,"Comedy, Drama, Fantasy",329236
Rain Man,1988,133 minutes,8.0,Drama,501427
Road to Perdition,2002,117 minutes,7.7,"Crime, Drama, Thriller",262688
Ben-Hur,1959,212 minutes,8.1,"Adventure, Drama, History",234301
Mononoke-hime,1997,134 minutes,8.4,"Animation, Action, Adventure",379777
The Fugitive,1993,130 minutes,7.8,"Action, Crime, Drama",287413
The Machinist,2004,101 minutes,7.7,"Drama, Thriller",380487
The Fighter,2010,116 minutes,7.8,"Action, Biography, Drama",358886
Kill Bill: Vol. 2,2004,137 minutes,8.0,"Action, Crime, Thriller",733977
The Fly,1986,96 minutes,7.6,"Drama, Horror, Sci-Fi",175419
Cast Away,2000,143 minutes,7.8,"Adventure, Drama, Romance",573325
Moon,2009,97 minutes,7.8,"Drama, Mystery, Sci-Fi",352743
Beauty and the Beast,1991,84 minutes,8.1,"Animation, Family, Fantasy",439526
The Sting,1973,129 minutes,8.3,"Comedy, Crime, Drama",256581
The Trial of the Chicago 7,2020,129 minutes,7.8,"Drama, History, Thriller",169812
Coraline,2009,100 minutes,7.7,"Animation, Drama, Family",217876
3:10 to Yuma,2007,122 minutes,7.7,"Action, Crime, Drama",305184
Once Upon a Time in the West,1968,165 minutes,8.5,Western,322245
The Graduate,1967,106 minutes,8.0,"Comedy, Drama, Romance",268487
Capharnaüm,2018,126 minutes,8.4,Drama,83677
Män som hatar kvinnor,2009,152 minutes,7.8,"Crime, Drama, Mystery",215308
